api,4301350440,,,,
well_name,Greater Monument Butte 3-2-9-16H,,,,
surface_latitude,40.064567,,,,
surface_longitude,110.089758,,,,
north_ref,t,,,,
surface_elevation,5496,,,,
measured_depth,inclination,azimuth,,,
0.00,0.00,0.00,,,
525.00,0.26,55.46,,,
556.00,0.13,263.89,,,
587.00,0.18,315.83,,,
617.00,0.26,257.78,,,
648.00,0.22,289.11,,,
679.00,0.28,286.03,,,
709.00,0.25,271.68,,,
739.00,0.13,262.48,,,
770.00,0.13,300.27,,,
800.00,0.31,283.93,,,
831.00,0.35,265.24,,,
877.00,0.35,276.85,,,
922.00,0.40,258.92,,,
967.00,0.22,255.27,,,
1013.00,0.22,286.92,,,
1058.00,0.40,281.95,,,
1103.00,0.44,272.24,,,
1149.00,0.35,262.39,,,
1194.00,0.18,250.22,,,
1239.00,0.51,241.10,,,
1285.00,1.15,230.05,,,
1330.00,1.27,225.70,,,
1375.00,1.19,212.25,,,
1421.00,0.83,213.00,,,
1466.00,0.92,220.38,,,
1511.00,0.66,228.03,,,
1557.00,0.13,303.66,,,
1602.00,0.35,357.40,,,
1647.00,1.23,15.55,,,
1692.00,1.32,23.46,,,
1738.00,1.23,16.91,,,
1783.00,1.10,14.47,,,
1828.00,1.12,25.59,,,
1874.00,0.95,32.62,,,
1919.00,0.88,27.55,,,
1964.00,0.57,16.96,,,
2010.00,0.62,31.07,,,
2055.00,0.45,18.64,,,
2100.00,0.31,33.57,,,
2146.00,0.04,68.59,,,
2191.00,0.09,124.54,,,
2236.00,0.35,175.31,,,
2282.00,0.26,206.80,,,
2327.00,0.44,183.29,,,
2372.00,0.62,198.54,,,
2418.00,0.57,198.32,,,
2463.00,0.92,198.23,,,
2508.00,1.01,193.53,,,
2554.00,1.19,198.37,,,
2599.00,1.23,200.61,,,
2644.00,1.36,195.55,,,
2690.00,1.27,197.49,,,
2735.00,0.66,200.34,,,
2780.00,0.18,182.28,,,
2825.00,0.26,178.11,,,
2871.00,0.26,134.73,,,
2916.00,0.28,92.93,,,
2961.00,0.44,96.85,,,
3007.00,0.40,80.28,,,
3052.00,0.18,60.95,,,
3097.00,0.26,325.94,,,
3143.00,0.35,313.06,,,
3188.00,0.44,306.51,,,
3232.00,0.62,288.45,,,
