,measured_depth,inclination,azimuth
0,0.0,0.0,0.0
1,100.0,0.0,0.0
2,200.0,0.0,0.0
3,300.0,0.0,0.0
4,400.0,0.0,0.0
5,500.0,0.0,0.0
6,600.0,0.0,0.0
7,700.0,0.0,0.0
8,800.0,0.0,0.0
9,900.0,0.0,0.0
10,1000.0,0.0,0.0
11,1100.0,0.0,0.0
12,1200.0,0.0,0.0
13,1300.0,1.7188733853924696,88.23550045014677
14,1400.0,4.010704565915763,88.23550045014677
15,1500.0,5.729577951308233,88.23550045014677
16,1600.0,8.021409131831525,88.23550045014677
17,1700.0,9.740282517223996,88.23550045014677
18,1759.43,11.459155902616466,88.23550045014677
19,1800.0,11.459155902616466,88.23550045014677
20,1900.0,11.459155902616466,88.23550045014677
21,2000.0,11.459155902616466,88.23550045014677
22,2100.0,11.459155902616466,88.23550045014677
23,2200.0,11.459155902616466,88.23550045014677
24,2300.0,11.459155902616466,88.23550045014677
25,2400.0,11.459155902616466,88.23550045014677
26,2500.0,11.459155902616466,88.23550045014677
27,2600.0,11.459155902616466,88.23550045014677
28,2700.0,11.459155902616466,88.23550045014677
29,2800.0,11.459155902616466,88.23550045014677
30,2900.0,11.459155902616466,88.23550045014677
31,3000.0,11.459155902616466,88.23550045014677
32,3100.0,11.459155902616466,88.23550045014677
33,3200.0,11.459155902616466,88.23550045014677
34,3300.0,11.459155902616466,88.23550045014677
35,3400.0,11.459155902616466,88.23550045014677
36,3500.0,11.459155902616466,88.23550045014677
37,3600.0,11.459155902616466,88.23550045014677
38,3700.0,11.459155902616466,88.23550045014677
39,3800.0,11.459155902616466,88.23550045014677
40,3900.0,11.459155902616466,88.23550045014677
41,4000.0,11.459155902616466,88.23550045014677
42,4100.0,11.459155902616466,88.23550045014677
43,4200.0,11.459155902616466,88.23550045014677
44,4300.0,11.459155902616466,88.23550045014677
45,4400.0,11.459155902616466,88.23550045014677
46,4500.0,11.459155902616466,88.23550045014677
47,4600.0,11.459155902616466,88.23550045014677
48,4700.0,11.459155902616466,88.23550045014677
49,4800.0,11.459155902616466,88.23550045014677
50,4900.0,11.459155902616466,88.23550045014677
51,5000.0,11.459155902616466,88.23550045014677
52,5095.78,11.459155902616466,88.23550045014677
53,5100.0,10.886198107485642,88.23550045014677
54,5200.0,9.740282517223996,88.23550045014677
55,5300.0,8.021409131831525,88.23550045014677
56,5400.0,6.875493541569878,88.23550045014677
57,5500.0,5.156620156177409,88.23550045014677
58,5600.0,3.437746770784939,88.23550045014677
59,5700.0,2.291831180523293,88.23550045014677
60,5800.0,0.5729577951308232,88.23550045014677
61,5841.69,0.0,0.0
62,5900.0,0.0,0.0
63,6000.0,0.0,0.0
64,6100.0,0.0,0.0
65,6200.0,0.0,0.0
66,6300.0,0.0,0.0
67,6400.0,0.0,0.0
68,6500.0,0.0,0.0
69,6600.0,0.0,0.0
70,6700.0,0.0,0.0
71,6800.0,0.0,0.0
72,6900.0,0.0,0.0
73,7000.0,0.0,0.0
74,7100.0,0.0,0.0
75,7200.0,0.0,0.0
76,7300.0,0.0,0.0
77,7400.0,0.0,0.0
78,7500.0,0.0,0.0
79,7600.0,0.0,0.0
80,7700.0,0.0,0.0
81,7800.0,0.0,0.0
82,7900.0,0.0,0.0
83,8000.0,0.0,0.0
84,8100.0,0.0,0.0
85,8200.0,0.0,0.0
86,8300.0,0.0,0.0
87,8400.0,0.0,0.0
88,8500.0,0.0,0.0
89,8600.0,0.0,0.0
90,8700.0,0.0,0.0
91,8800.0,0.0,0.0
92,8900.0,0.0,0.0
93,8964.69,0.0,0.0
