,measured_depth,inclination,azimuth
0,0.0,0.0,0.0
1,235.0,0.5729577951308232,163.29297161228462
2,326.0,1.1459155902616465,170.74142294898533
3,417.0,1.1459155902616465,116.88339020668793
4,508.0,1.7188733853924696,102.55944532841735
5,599.0,1.7188733853924696,100.84057194302488
6,689.0,1.1459155902616465,112.29972784564136
7,778.0,0.5729577951308232,140.3746598070517
8,869.0,1.1459155902616465,134.07212406061262
9,960.0,0.5729577951308232,88.23550045014677
10,1054.0,0.5729577951308232,18.334649444186343
11,1148.0,0.5729577951308232,5.729577951308233
12,1243.0,0.5729577951308232,348.9312972346713
13,1338.0,0.5729577951308232,326.58594322456923
14,1432.0,0.5729577951308232,315.6997451170836
15,1527.0,1.1459155902616465,307.6783359852521
16,1622.0,1.1459155902616465,289.3436865410657
17,1716.0,1.1459155902616465,268.71720591635614
18,1811.0,1.7188733853924696,263.56058576017864
19,1905.0,0.5729577951308232,231.4749492328526
20,2000.0,1.1459155902616465,180.48170546620932
21,2095.0,1.1459155902616465,126.05071492878112
22,2189.0,1.1459155902616465,114.59155902616465
23,2284.0,1.1459155902616465,118.02930579694959
24,2378.0,1.1459155902616465,133.49916626548182
25,2472.0,1.1459155902616465,143.8124065778366
26,2567.0,0.5729577951308232,132.35325067522018
27,2661.0,0.0,278.4574884335801
28,2755.0,0.0,241.7881895452074
29,2850.0,0.5729577951308232,319.71044968299935
30,2944.0,0.5729577951308232,338.0450991271857
31,3039.0,0.5729577951308232,330.0236899953542
32,3133.0,0.0,293.3543911069815
33,3179.0,0.0,249.23664088190807
34,3214.0,0.5729577951308232,199.3893127055265
35,3307.0,1.1459155902616465,158.1363514561072
36,3401.0,5.156620156177409,140.3746598070517
37,3496.0,10.886198107485642,130.06141949469688
38,3590.0,17.188733853924695,120.32113697747289
39,3684.0,20.05352282957881,109.43493886998723
40,3778.0,21.199438419840458,93.965078401455
41,3873.0,21.772396214971284,78.49521793292278
42,3967.0,19.48056503444799,61.30648407899809
43,4061.0,16.615776058793873,76.2033867523995
44,4155.0,17.76169164905552,76.77634454753031
45,4250.0,17.76169164905552,76.77634454753031
46,4344.0,17.188733853924695,75.63042895726866
47,4438.0,17.188733853924695,74.48451336700703
48,4533.0,17.76169164905552,72.76563998161456
49,4627.0,17.76169164905552,68.75493541569878
50,4721.0,17.188733853924695,68.75493541569878
51,4816.0,17.76169164905552,69.90085100596043
52,4911.0,17.76169164905552,71.04676659622208
53,5005.0,20.626480624709636,75.05747116213784
54,5099.0,23.49126960036375,68.18197762056796
55,5194.0,22.918311805232932,69.90085100596043
56,5288.0,23.49126960036375,67.60901982543714
57,5382.0,24.6371851906254,69.32789321082961
58,5476.0,25.21014298575622,70.47380880109125
59,5571.0,24.6371851906254,68.75493541569878
60,5665.0,25.21014298575622,69.32789321082961
61,5759.0,24.6371851906254,72.76563998161456
62,5854.0,25.21014298575622,75.05747116213784
63,5948.0,25.21014298575622,75.05747116213784
64,6042.0,24.064227395494576,76.77634454753031
65,6136.0,24.6371851906254,80.21409131831524
66,6230.0,24.6371851906254,77.92226013779197
67,6325.0,25.21014298575622,77.92226013779197
68,6419.0,25.21014298575622,78.49521793292278
69,6513.0,25.21014298575622,78.49521793292278
70,6608.0,24.6371851906254,80.21409131831524
71,6703.0,23.49126960036375,83.07888029396936
72,6797.0,24.6371851906254,79.64113352318442
73,6891.0,23.49126960036375,83.07888029396936
74,6985.0,22.918311805232932,88.23550045014677
75,7079.0,25.783100780887047,81.36000690857689
76,7173.0,24.6371851906254,73.33859777674537
77,7268.0,24.6371851906254,76.77634454753031
78,7362.0,23.49126960036375,80.78704911344607
79,7457.0,24.6371851906254,81.93296470370773
80,7552.0,24.6371851906254,76.2033867523995
81,7646.0,24.6371851906254,77.34930234266115
82,7741.0,24.064227395494576,77.34930234266115
